,Network,Star Rating,Profit Or Non-Profit,Chain Owned,Late Shift,Number Of Dialysis Stations,Offers In-Center Hemodialysis,Offers Peritoneal Dialysis,Offers Home Hemodialysis Training,Percentage Of Medicare Patients With Hgb < 10 g/dL,Percentage Of Medicare Patients With Hgb > 12 g/dL,Percent Of Adult HD Patients With Kt/V >= 1.2,Percentage Of Adult Patients With Hypercalcemia (Serum Calcium Greater Than 10.2 mg/dL),Percentage Of Adult Patients With Serum Phosphorus Less Than 3.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 3.5 - 4.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 4.6 - 5.5 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Between 5.6 - 7.0 mg/dL,Percentage Of Adult Patients With Serum Phosphorus Greater Than 7.0 mg/dL,Percentage Of Adult Patients With Long Term Catheter In Use,Standardized First Kidney Transplant Waitlist Ratio,Percentage Of Prevalent Patients Waitlisted,State_AL,State_AR,State_AS,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_GU,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MP,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_PR,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VI,State_VT,State_WA,State_WI,State_WV,State_WY,Chain Organization_ATLANTIS HEALTHCARE GROUP,Chain Organization_CENTERS FOR DIALYSIS CARE,Chain Organization_CENTRACARE DIALYSIS,Chain Organization_CENTRAL FLORIDA KIDNEY CENTERS,Chain Organization_DAV,Chain Organization_DAVITA,"Chain Organization_DIALYSIS ASSOCIATES, LLC","Chain Organization_DIALYSIS CLINIC, INC.",Chain Organization_DIALYSPA,Chain Organization_DIVERSIFIED SPECIALTY INSTITUTES (DSI),Chain Organization_EMORY DIALYSIS LLC,Chain Organization_FRESENIUS MEDICAL CARE,Chain Organization_FUTURE CARE,Chain Organization_GREENFIELD HEALTH SYSTEMS,Chain Organization_GUNDERSEN LUTHERAN,"Chain Organization_HEMODIALYSIS, INC.",Chain Organization_INDEPENDENT,Chain Organization_INDEPENDENT DIALYSIS FOUNDATION (IDF),Chain Organization_INNOVATIVE DIALYSIS SYSTEMS,Chain Organization_INTERMOUNTAIN HEALTHCARE,Chain Organization_KAISER PERMANENTE,"Chain Organization_KIDNEY CENTER, INC.",Chain Organization_LIBERTY DIALYSIS HAWAII,Chain Organization_MAYO CLINIC DIALYSIS,Chain Organization_NATIONAL RENAL CARE,Chain Organization_NATIONAL RENAL INSTITUTES,Chain Organization_NORTH CENTRAL PENNSYLVANIA DIALYSIS CLI,Chain Organization_NORTHWEST KIDNEY CENTERS,Chain Organization_NRAA,Chain Organization_OLYMPIC PENINSULA KIDNEY CENTERS,Chain Organization_Other,Chain Organization_PHYSICIANS CHOICE DIALYSIS,Chain Organization_PHYSICIANS DIALYSIS,Chain Organization_PUGET SOUND KIDNEY CENTERS,Chain Organization_PURE LIFE RENAL,"Chain Organization_RED ROCKS DIALYSIS, LLC",Chain Organization_RELIANT RENAL CARE,Chain Organization_RENAL ADVANTAGE,Chain Organization_RENAL CARE GROUP INC.,Chain Organization_RENAL CARE PARTNERS,Chain Organization_RENAL RESEARCH INSTITUTE,Chain Organization_RENAL VENTURES MANAGEMENT,Chain Organization_SANFORD HEALTH,Chain Organization_SANKAR NEPHROLOGY GROUP,Chain Organization_SATELLITE DIALYSIS,Chain Organization_SATELLITE HEALTHCARE,Chain Organization_SCOTT & WHITE MEMORIAL HOSPITAL,Chain Organization_STATE OWNED,Chain Organization_TARRANT DIALYSIS CENTERS,Chain Organization_UNIVERSITY OF MICHIGAN,Chain Organization_UNIVERSITY OF UTAH DIALYSIS PROGRAM,Chain Organization_UPMC HEALTH SYSTEM,"Chain Organization_US RENAL CARE, INC.",Chain Organization_VETERANS ADMINISTRATION,Chain Organization_WAKE FOREST UNIVERSITY,Mortality Rate Standardized,Readmission Rate Standardized,Hospitalization Rate Standardized,Standard Infection Ratio Standardized,Transfusion Rate Standardized,Fistula Rate Standardized
10,1,4,1.0,1,1,10,1,0,0,18.0,0.0,99.0,0.0,6.0,23.0,25.0,28.0,19.0,16.0,0.82,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.560424935074769,1.8178548291698926,0.3259831168282887,0.8175285233870427,-0.19034706397008455,0.008134085569189722
11,11,5,1.0,1,0,13,1,1,1,11.0,0.0,98.0,1.0,6.0,25.0,38.0,20.0,11.0,8.0,0.82,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1565626495179994,-0.6822200596600847,-0.9215388459208858,0.691031792389997,-1.26594602044555,0.902339883550436
12,11,4,1.0,1,0,24,1,1,0,18.0,0.0,91.0,2.0,8.0,17.0,31.0,28.0,17.0,6.0,0.82,24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09932783319521893,-0.13532867772852722,0.4675172130883247,-1.1160643647106538,-0.19034706397008455,-0.12794070977578248
13,12,5,1.0,1,0,20,1,1,0,17.0,0.0,99.0,0.0,6.0,22.0,30.0,16.0,26.0,6.0,0.82,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7616164220731045,-1.2551538883502877,-0.25228476217700124,-1.1160643647106538,-0.7506890353076024,2.127013041655188
14,15,3,1.0,1,0,20,1,1,0,16.0,0.0,98.0,1.0,9.0,27.0,34.0,18.0,11.0,12.0,0.41,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4975495370280604,1.0496026497898476,2.038545681574725,-0.30287109401536094,0.29914707191096573,0.7565454599665371
15,3,3,1.0,1,0,18,1,1,0,13.0,0.0,97.0,4.0,11.0,29.0,31.0,18.0,11.0,16.0,0.82,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48113982727377,0.08603211971996073,0.008542358073636685,-0.013735708879256856,-0.6218747890231155,0.43579772808195977
16,2,3,0.0,0,0,40,1,0,0,23.0,0.0,96.0,1.0,13.0,25.0,25.0,25.0,12.0,16.0,0.57,21.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15414063909137934,0.00790477944402375,1.3066122123442525,-0.1944453245893219,-0.2869577486834497,0.15392850915308934
17,2,5,0.0,0,1,25,1,0,0,7.0,0.0,97.0,0.0,12.0,20.0,24.0,27.0,16.0,7.0,0.92,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1075042355270448,1.0235602030312017,0.4088816589234525,-0.013735708879256856,0.060840716284665024,1.193928730718234
18,6,5,1.0,1,0,9,1,0,0,0.0,0.0,99.0,0.0,7.0,29.0,30.0,22.0,12.0,10.0,0.82,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1328300033932095,-0.30460458165972326,-1.48767523096103,-0.15830340144730887,-0.7764518845644999,-0.45840806989928656
19,9,3,1.0,1,0,17,1,0,0,27.0,0.0,99.0,2.0,9.0,22.0,35.0,21.0,13.0,23.0,0.56,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28738508682721087,-0.5389866024875337,0.5544595865052042,0.546464099821945,-1.0018768155623519,-2.5578477695074313
